Company,Location,Role,Salary,StartDate,Status,SubmitDate,Year
THE MATLEN SILVER GROUP INC,"CHARLOTTE, NC",DATA SCIENTIST,170000,01/05/2015,CERTIFIED,12/12/2014,2014
THOUGHTWORKS INC,"CHICAGO, IL",DATA SCIENTIST,71718,09/29/2014,CERTIFIED,09/29/2014,2014
EVANTAGE SOLUTIONS INC,"BELLEVUE, WA",DATA SCIENTIST,73923,12/15/2014,CERTIFIED,12/15/2014,2014
HOTWIRE INC,"BELLEVUE, WA",DATA SCIENTIST,74755,10/20/2014,CERTIFIED,10/08/2014,2014
FINO CONSULTING LLC,"NEW YORK, NY",DATA SCIENTIST,82000,10/20/2014,CERTIFIED,10/16/2014,2014
MOODY'S ANALYTICS,"SAN FRANCISCO, CA",DATA SCIENTIST,87630,11/10/2014,CERTIFIED,10/21/2014,2014
VIRTUAL POWER SYSTEMS,"SANTA CLARA, CA",DATA SCIENTIST,90000,11/30/2014,CERTIFIED,11/07/2014,2014
ESURANCE INSURANCE SERVICES INC,"SAN FRANCISCO, CA",DATA SCIENTIST,90000,12/10/2014,CERTIFIED,12/03/2014,2014
ENLITIC INC,"SAN FRANCISCO, CA",DATA SCIENTIST,90000,12/22/2014,CERTIFIED,12/11/2014,2014
PIONEER HI-BRED INTERNATIONAL INC,"JOHNSTON, IA",DATA SCIENTIST,90870,10/20/2014,CERTIFIED,10/09/2014,2014
SHUTTERSTOCK INC,"NEW YORK, NY",DATA SCIENTIST,91374,12/29/2014,CERTIFIED,12/15/2014,2014
PORCHCOM INC,"SEATTLE, WA",DATA SCIENTIST,95000,12/08/2014,CERTIFIED,12/01/2014,2014
LOGICNOW INC,"CAMBRIDGE, MA",DATA SCIENTIST,100000,10/10/2014,CERTIFIED,10/07/2014,2014
SQUARE INC,"SAN FRANCISCO, CA",DATA SCIENTIST,100880,01/05/2015,CERTIFIED,12/19/2014,2014
MICROSOFT CORPORATION,"REDMOND, WA",DATA SCIENTIST,102300,06/08/2015,CERTIFIED,12/15/2014,2014
MICROSOFT CORPORATION,"REDMOND, WA",DATA SCIENTIST,103000,11/24/2014,CERTIFIED,11/11/2014,2014
GROUPON INC,"NEW YORK, NY",DATA SCIENTIST,105000,11/03/2014,CERTIFIED,10/21/2014,2014
FPT USA CORPORATION,"EL SEGUNDO, CA",DATA SCIENTIST,105000,01/15/2015,CERTIFIED,12/10/2014,2014
MICROSOFT CORPORATION,"CAMBRIDGE, MA",DATA SCIENTIST,105000,09/30/2014,CERTIFIED,09/25/2014,2014
BLUE JEANS NETWORK INC,"MOUNTAIN VIEW, CA",DATA SCIENTIST,107000,12/18/2014,CERTIFIED,12/10/2014,2014
MICROSOFT CORPORATION,"REDMOND, WA",DATA SCIENTIST,108383,10/27/2014,CERTIFIED,10/08/2014,2014
C1X INC,"SAN JOSE, CA",DATA SCIENTIST,110000,11/11/2014,CERTIFIED,10/23/2014,2014
